feature,DT_B,RF_B
kvarh_received_capacitive_Total,2,71
kvarh_received_inductive_Total,49,75
has_pv,34,65
has_reactive_energy,6,38
Temperature_max_daily,68,9
Temperature_min_daily,7,62
Temperature_avg_daily,8,10
HeatingDegree_SIA_daily,9,64
HeatingDegree_US_daily,10,63
CoolingDegree_US_daily,11,32
Humidity_avg_daily,12,40
Precipitation_total_daily,13,22
Sunshine_duration_daily,14,25
Survey_Building_LivingArea,15,49
Survey_Building_Residents,16,18
Visit_Year,3,58
Building_ConstructionYear,19,30
Building_HousingUnits,69,68
Building_Residents,75,61
Building_FloorAreaHeated_Total,5,13
Building_FloorAreaHeated_Basement,32,50
Building_FloorAreaHeated_GroundFloor,31,29
Building_FloorAreaHeated_FirstFloor,30,34
Building_FloorAreaHeated_SecondFloor,29,51
Building_FloorAreaHeated_TopFloor,21,60
Building_PVSystem_Size,20,59
HeatPump_Installation_Year,27,33
HeatPump_Installation_HeatingCapacity,26,36
HeatPump_Installation_Normpoint_COP,25,52
HeatPump_Installation_Normpoint_HeatingPower,24,57
HeatPump_Installation_Normpoint_ElectricPower,23,21
HeatPump_HeatingCurveSetting_Outside20_BeforeVisit,22,37
HeatPump_HeatingCurveSetting_Outside0_BeforeVisit,17,43
HeatPump_HeatingCurveSetting_OutsideMinus8_BeforeVisit,4,39
HeatPump_HeatingLimitSetting_BeforeVisit,45,53
DHW_TemperatureSetting_BeforeVisit,18,42
DHW_TemperatureSetting_AfterVisit,50,46
HeatPump_GroundSource_CurrentPressure,33,56
HeatPump_GroundSource_CurrentTemperature,48,47
day_of_week,70,73
month,51,4
is_weekend,1,19
day_of_year,46,54
is_heating_season,44,55
temp_range_daily,37,44
HDD_SIA_daily,43,67
HDD_US_daily,42,45
CDD_US_daily,41,35
humidity_x_temp,40,16
temp_avg_lag_1d,39,14
temp_avg_rolling_3d,71,1
temp_avg_rolling_7d,38,23
HDD_SIA_rolling_7d,36,27
building_type_house,73,3
building_type_apartment,52,24
hp_type_air_source,55,7
hp_type_ground_source,65,17
hp_type_unknown,64,15
dhw_hp,63,2
dhw_ewh,74,69
dhw_solar,62,72
dhw_combined,61,41
dhw_unknown,67,6
heat_dist_floor,60,11
heat_dist_radiator,53,8
heat_dist_both,66,5
heat_dist_unknown,58,26
has_ev,57,70
has_dryer,72,74
has_freezer,56,48
building_age,59,31
hp_age,54,20
hp_capacity_per_area,47,28
heating_curve_gradient_upper,35,12
heating_curve_gradient_lower,28,66
