Model,sg_col,cat_a,cat_b,n_a,n_b,median_a,median_b,delta_median,stat,p_value,p_bonferroni,significant
RF,sg_hp_type,Air-Source,Ground-Source,40146,33683,-0.9239374253881039,-1.136883505050509,-0.2129460796624052,689054092.0,7.305723482323853e-06,0.00017533736357577248,True
XGBoost,sg_hp_type,Air-Source,Ground-Source,40146,33683,-1.8718925666809074,-1.8834968566894545,-0.011604290008547125,678032836.0,0.5069679856712705,1.0,False
LightGBM,sg_hp_type,Air-Source,Ground-Source,40146,33683,-1.6940669082718607,-1.7007162855796096,-0.006649377307748949,676771737.0,0.8209296713483302,1.0,False
RF,sg_building_type,House,Apartment,73199,630,-1.0356304805194654,-1.2653726392794074,-0.22974215875994197,23552445.0,0.35296694276882445,1.0,False
XGBoost,sg_building_type,House,Apartment,73199,630,-1.8834579467773445,-1.714238681793213,0.16921926498413153,21782802.0,0.016691473109679,0.400595354632296,False
LightGBM,sg_building_type,House,Apartment,73199,630,-1.7018205843254677,-1.64573304136972,0.05608754295574769,22913130.0,0.7860963233725677,1.0,False
RF,sg_pv,With PV,Without PV,33334,41034,-1.2261977774170258,-0.9252749944413523,0.30092278297567354,671741047.0,2.9043539652866962e-05,0.0006970449516688071,True
XGBoost,sg_pv,With PV,Without PV,33334,41034,-2.1748704528808585,-1.6980336761474621,0.4768367767333963,662811442.5,4.235295204622131e-13,1.0164708491093114e-11,True
LightGBM,sg_pv,With PV,Without PV,33334,41034,-1.913663015611835,-1.5671422754306876,0.3465207401811474,664021283.0,8.357169866575202e-12,2.0057207679780484e-10,True
RF,sg_group,Treatment,Control,5475,68893,-1.136840717251303,-1.024832975877061,0.11200774137424219,186781762.0,0.23574499684111072,1.0,False
XGBoost,sg_group,Treatment,Control,5475,68893,-2.4187045288085933,-1.8425807189941423,0.576123809814451,182397627.5,5.053051508606248e-05,0.0012127323620654995,True
LightGBM,sg_group,Treatment,Control,5475,68893,-2.00856144431674,-1.6716165531646823,0.33694489115205783,182716451.0,0.00012073393829329118,0.002897614519038988,True
RF,sg_ev,With EV,Without EV,17369,56999,-0.9653238391053449,-1.045074807359299,-0.07975096825395411,508695183.0,3.280261975915477e-08,7.872628742197145e-07,True
XGBoost,sg_ev,With EV,Without EV,17369,56999,-1.763295898437498,-1.9067314147949226,-0.14343551635742458,508909164.5,1.9980888770396423e-08,4.795413304895141e-07,True
LightGBM,sg_ev,With EV,Without EV,17369,56999,-1.661292979711554,-1.7050481566515945,-0.043755176940040386,506836180.0,1.7946262507160364e-06,4.307103001718487e-05,True
RF,sg_intervention,Treatment (pre-visit),Treatment (post-visit),837,4638,-0.7502074078988628,-1.1913054303519033,-0.44109802245304053,1913485.0,0.5132456513611623,1.0,False
XGBoost,sg_intervention,Treatment (pre-visit),Treatment (post-visit),837,4638,-3.017843627929693,-2.3168205261230455,0.7010231018066477,1816859.0,0.003182438950290485,0.07637853480697164,False
LightGBM,sg_intervention,Treatment (pre-visit),Treatment (post-visit),837,4638,-2.033211275112251,-2.0058238154640513,0.027387459648199552,1872467.0,0.10345178236463357,1.0,False
RF,sg_intervention,Control (no visit),Treatment (post-visit),68893,4638,-1.024832975877061,-1.1913054303519033,-0.16647245447484238,160986734.0,0.3817651844853779,1.0,False
XGBoost,sg_intervention,Control (no visit),Treatment (post-visit),68893,4638,-1.8425807189941423,-2.3168205261230455,-0.4742398071289031,163548391.5,0.006822982261324972,0.16375157427179932,False
LightGBM,sg_intervention,Control (no visit),Treatment (post-visit),68893,4638,-1.6716165531646823,-2.0058238154640513,-0.33420726229936903,163920569.0,0.0029650022181716925,0.07116005323612062,False
RF,sg_heat_dist,Floor,Radiator,50964,13501,-1.323376854864506,-0.2517072921386827,1.0716695627258233,309080038.0,7.466346199737118e-74,1.7919230879369084e-72,True
XGBoost,sg_heat_dist,Floor,Radiator,50964,13501,-2.170328407287598,-1.0111019897460949,1.159226417541503,311127128.5,1.1470097942272296e-65,2.752823506145351e-64,True
LightGBM,sg_heat_dist,Floor,Radiator,50964,13501,-2.0502936441644364,-0.708770135505091,1.3415235086593453,308051519.0,3.755955927790977e-78,9.014294226698345e-77,True
