Dimension,Category,Model,N,N_households,mean_kwh,mean_bias,median_bias,MAE,RMSE,R2,sMAPE,MedAE,P10_bias,P90_bias
Building Age Bucket,1970-1990,DT B,2515,28,44.414858846918484,-53.363369585089586,-60.42766666666667,55.99862034618523,60.678634706706205,-5.866014793493845,82.5377407298458,60.597058823529416,-81.9866,-8.990275862068977
Building Age Bucket,1970-1990,RF B,2515,28,44.414858846918484,-15.114360476307322,-20.584440894930353,23.508610988107197,27.055550150259425,-0.36504155549811723,48.6295517074986,23.323490487531394,-36.28391835973062,13.561398781317152
Building Age Bucket,1990-2010,DT B,1433,16,41.69415212840195,-54.389332039192766,-59.047666666666665,55.87220178768032,60.29386992462662,-12.410075318165548,82.75415995666374,59.147666666666666,-83.07013333333333,-17.149538461538473
Building Age Bucket,1990-2010,RF B,1433,16,41.69415212840195,-16.166294233915522,-18.203507993546694,19.98317858877495,23.238687807140654,-0.9920860805728138,43.93812320182587,19.397493352647636,-35.66660405235259,5.095000212279989
Building Age Bucket,post-2010,DT B,270,3,28.369,-55.003933382235225,-66.68266666666666,56.45126235827009,62.63244465409385,-70.78626739055225,96.42202402917994,66.68266666666666,-86.29866666666668,-13.88252173913043
Building Age Bucket,post-2010,RF B,270,3,28.369,-24.564682069314905,-27.152299431589654,24.61170837319218,26.943913963706034,-12.285075037624601,61.141147386166836,27.152299431589654,-37.969392281923895,-8.17535162285936
Building Age Bucket,pre-1970,DT B,987,11,49.263515704153996,-48.10127510295482,-52.41766666666667,50.50044771951917,54.8764511985999,-4.480284216763798,72.24238131337182,52.437666666666665,-76.87799999999999,-15.12510869565218
Building Age Bucket,pre-1970,RF B,987,11,49.263515704153996,-9.521531400829796,-13.848313525271827,18.513232634503385,22.798446044264566,0.05410803069167247,36.24839016978008,17.309274885001116,-29.238804105485166,13.197566106022153
Building Age Bucket,Unknown,DT B,270,3,22.66348148148148,-79.5513037037037,-79.97383333333333,79.5513037037037,80.66231992953595,-55.51439833935713,129.493667870259,79.97383333333333,-96.344,-62.88066666666667
Building Age Bucket,Unknown,RF B,270,3,22.66348148148148,-37.05144928431629,-37.453670340515586,37.116684832078846,38.24694885657081,-11.706071106103046,94.96427820906202,37.453670340515586,-47.14509465069366,-26.108909166152994
HP Correctly Planned,False,DT B,985,11,39.45171573604061,-57.654919203558684,-61.81766666666667,58.18632770360845,62.335811071558844,-10.641219852550497,88.26452373863006,61.81766666666667,-83.5337111111111,-20.629208695652174
HP Correctly Planned,False,RF B,985,11,39.45171573604061,-20.060594023613064,-22.143963348386478,23.14274389861279,26.452513942518387,-1.096318012505154,51.56395337558948,22.861880460694785,-39.61376456035718,2.767354155707354
HP Correctly Planned,True,DT B,4490,50,43.428287305122495,-53.26604998730026,-59.753833333333326,55.71325106464271,60.49191461735657,-6.471671954442831,82.74588873943367,59.867666666666665,-83.44276666666666,-12.19328623188406
HP Correctly Planned,True,RF B,4490,50,43.428287305122495,-15.023015162573373,-19.126452704611143,22.25026182368564,25.975871719707847,-0.37772772027915247,47.30552005031281,21.683915023199713,-36.31302956606905,10.450523076602703
Heating Curve Too High,0.0,DT B,2241,25,43.28534136546185,-58.60091120035698,-60.98766666666667,59.4457902721999,62.406435629296475,-8.383165182117692,86.03915389631808,60.99766666666667,-82.99766666666667,-33.477666666666664
Heating Curve Too High,0.0,RF B,2241,25,43.28534136546185,-16.715586771425755,-19.192231310703676,21.60229160570012,25.27396972119152,-0.538996126407707,46.040078114890015,20.730012339965413,-36.2710770132888,4.547401381308944
Heating Curve Too High,1.0,DT B,3234,36,42.31617192331478,-50.90600428524535,-59.45766666666667,53.880029087291305,59.70935836561636,-6.165157163940127,82.1446668030176,59.61883333333333,-83.73136666666666,-7.459376923076915
Heating Curve Too High,1.0,RF B,3234,36,42.31617192331478,-15.384475336564064,-19.884500817473988,22.971101682160842,26.594815204868297,-0.42146073008127805,49.479426111747586,22.524574017321694,-37.31143320197144,11.943271701745363
Heating Limit Too High,0.0,DT B,3862,43,41.44732522009322,-53.10768297158499,-59.55383333333333,55.17761656639337,59.99267750349413,-9.142958946466074,82.95918561902018,59.66383333333333,-82.6269,-13.850521739130427
Heating Limit Too High,0.0,RF B,3862,43,41.44732522009322,-16.567859234655632,-19.23611473111477,21.42466085762635,24.855849966854755,-0.7411068131925462,46.53941024635297,20.79795567985389,-36.4168354356192,6.1994350617037135
Heating Limit Too High,1.0,DT B,1613,18,45.74295102293862,-56.32534917682716,-62.33766666666667,58.505936074946604,62.78211201181117,-4.5325330624536235,85.60522099315054,62.33766666666667,-85.55613333333332,-18.633666666666674
Heating Limit Too High,1.0,RF B,1613,18,45.74295102293862,-14.400465486034246,-20.869592522011565,24.7720012996461,28.745777625251858,-0.15984591780726598,51.74028315526659,24.655010200408785,-37.843100513341966,19.979744700180724
Night Setback Active (before),0.0,DT B,3410,38,44.427466275659825,-55.060221873882995,-61.43266666666666,57.28107026574497,61.400490107955214,-5.971929528748064,83.65730278891354,61.47499999999999,-82.73066666666666,-16.57832905982906
Night Setback Active (before),0.0,RF B,3410,38,44.427466275659825,-15.112334032374854,-20.89548279012843,23.441019321104832,26.968776388664345,-0.3450294634576434,48.18226055670496,23.394209039078618,-35.60183930768439,11.97482369256626
Night Setback Active (before),1.0,DT B,2065,23,39.88149636803874,-52.39675703077116,-57.51999999999999,54.30391305671175,59.870029914545015,-10.046891883798814,83.87321734257266,57.937666666666665,-84.43766666666667,-12.98520869565217
Night Setback Active (before),1.0,RF B,2065,23,39.88149636803874,-17.27843299894191,-18.14511217237034,20.709637987174162,24.491979177103666,-0.8487105361291087,47.88899302784323,18.998346497634238,-39.53554986768526,5.13359815905088
