Model,Split,Period,RMSE,MAE,R2,sMAPE,MedAE,N
RF_B,Test_B,Test_B Overall,26.062266867169466,22.410827091960204,-0.463797136617238,48.07164915138914,21.922042847505757,5475
RF_B,Test_B,Peak Winter (Dec-Feb),26.062266867169466,22.410827091960204,-0.463797136617238,48.07164915138914,21.922042847505757,5475
DT_B,Test_B,Test_B Overall,60.8277711266761,56.15817900790869,-6.973707946637072,83.73873905500359,60.37766666666667,5475
DT_B,Test_B,Peak Winter (Dec-Feb),60.8277711266761,56.15817900790869,-6.973707946637072,83.73873905500359,60.37766666666667,5475
RF_B,Val_B,Val_B Overall,39.15236405412132,37.097628128826585,-6.216282907058901,107.9397175449061,38.525340159548406,11281
RF_B,Val_B,Non-Heating (May-Sep),40.99793560943986,39.48106072692316,-15.794718908106159,121.51665380994616,40.448529223569366,7609
RF_B,Val_B,Transition (Oct-Nov),35.0197959084321,32.158755950472326,-3.0921611249933916,80.9359078638455,33.11399255974797,3672
DT_B,Val_B,Val_B Overall,70.62172472380612,66.13893044906688,-22.47870882047735,130.50604794283603,69.58766666666666,11281
DT_B,Val_B,Non-Heating (May-Sep),69.44360237233045,64.75444944770598,-47.18515327967455,139.43210440572312,56.20272727272727,7609
DT_B,Val_B,Transition (Oct-Nov),73.00249916794965,69.00780733886943,-16.782833403856706,112.75259272872668,73.62266666666667,3672
